Sentence|Gloss
彼女はいつもassignmentを早めに終わらせる。|She always finishes her assignments early.
クラスのcurriculum全体がとても充実している。|The class's entire curriculum is very well-rounded.
彼はとても analyticalな考え方をする人だ。|He's someone who thinks in a very analytical way.
私たちのteamは協力してresearchを進めた。|Our team worked together to advance the research.
このsubjectについてもっと深く学びたい。|I want to learn more deeply about this subject.
先生はclassの最後にsummaryを書くように言った。|The teacher told us to write a summary at the end of class.
彼女はstressを感じながらも最後まで諦めなかった。|Even while feeling stress, she didn't give up until the end.
私のfavoriteな授業は毎週木曜日にある。|My favorite class is every Thursday.
I feel so 眠い after back-to-back video calls all morning.|I feel so sleepy after back-to-back video calls all morning.
She keeps her 手帳 open on the desk to track every task.|She keeps her planner open on the desk to track every task.
Working from home means my commute is just 数歩 from bed to desk.|Working from home means my commute is just a few steps from bed to desk.
Have you found a 静かな spot in your apartment for deep focus work?|Have you found a quiet spot in your apartment for deep focus work?
The 締め切り is tomorrow, so I'm staying off social media today.|The deadline is tomorrow, so I'm staying off social media today.
I put on a 小さな lamp to make my corner feel more like an office.|I put on a small lamp to make my corner feel more like an office.
He works in an incredibly 狭い room but still manages to stay productive.|He works in an incredibly cramped room but still manages to stay productive.
Honestly, my 集中力 drops off sharply after two in the afternoon.|Honestly, my concentration drops off sharply after two in the afternoon.
She printed the whole 書類 stack and spread it across the kitchen table.|She printed the whole document stack and spread it across the kitchen table.
My neighbors are so うるさい that I can barely hear myself think.|My neighbors are so noisy that I can barely hear myself think.
I take a 短い walk around the block between meetings to reset my mind.|I take a short walk around the block between meetings to reset my mind.
His 返事 came in at midnight, which is way outside working hours.|His reply came in at midnight, which is way outside working hours.
I always brew 緑茶 before sitting down to tackle the morning inbox.|I always brew green tea before sitting down to tackle the morning inbox.
The lack of a clear 境界線 between work and rest is exhausting me.|The lack of a clear boundary between work and rest is exhausting me.
She schedules a 休憩 every ninety minutes to stay fresh throughout the day.|She schedules a break every ninety minutes to stay fresh throughout the day.
Working 一人で all day makes me crave any kind of real conversation.|Working alone all day makes me crave any kind of real conversation.
